timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
153804687683,16336,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153804718620,16337,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153804747338,16338,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153804778623,16339,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153804856110,16340,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153804883525,16341,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153804893662,16342,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153804906070,16343,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153804941353,16344,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153804977448,16345,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153804994997,16346,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805047358,16347,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805058689,16348,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805087363,16349,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805119876,16350,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805154872,16351,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805238613,16352,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805273647,16353,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805277311,16354,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805287459,16355,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805307265,16356,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805338790,16357,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805395021,16358,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805407514,16359,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805436251,16360,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805464995,16361,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805496187,16362,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805527557,16363,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805608741,16364,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805623622,16365,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805639976,16366,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805657417,16367,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805691332,16368,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805710081,16369,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805746296,16370,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805779970,16371,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805808718,16372,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805860000,16373,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805870003,16374,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805952624,16375,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153805996313,16376,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153806003622,16377,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153806011772,16378,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153806037301,16379,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153806066084,16380,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153806096267,16381,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153806116668,16382,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153806149996,16383,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
