timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
159588626442,17152,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159588636360,17153,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159588647600,17154,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159588668869,17155,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159588704977,17156,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159588730058,17157,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159588767485,17158,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159588818925,17159,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159588824859,17160,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159588854897,17161,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159588886192,17162,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159588993727,17163,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589002729,17164,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589016333,17165,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589041252,17166,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589062550,17167,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589087653,17168,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589126287,17169,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589138873,17170,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589169882,17171,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589201806,17172,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589231142,17173,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589262365,17174,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589355091,17175,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589358446,17176,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589369048,17177,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589391538,17178,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589452609,17179,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589466375,17180,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589487591,17181,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589515133,17182,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589547417,17183,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589598793,17184,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589607121,17185,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589657954,17186,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589735125,17187,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589746227,17188,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589753084,17189,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589764066,17190,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589801415,17191,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589823919,17192,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589853692,17193,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589888794,17194,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589918745,17195,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589948724,17196,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159589980040,17197,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590057604,17198,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590123715,17199,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590130106,17200,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590141226,17201,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590175445,17202,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590196400,17203,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590222695,17204,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590241366,17205,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590260198,17206,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590309807,17207,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590340234,17208,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590364922,17209,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590442524,17210,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590468718,17211,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590476210,17212,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590501403,17213,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590510207,17214,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590541304,17215,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590572497,17216,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590603803,17217,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590635103,17218,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590686620,17219,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590725194,17220,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590735018,17221,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590828740,17222,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590838795,17223,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590846310,17224,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590875094,17225,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590895176,17226,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590926312,17227,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590959023,17228,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159590986442,17229,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159591015172,17230,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159591050083,17231,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159591076254,17232,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159591179986,17233,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159591194895,17234,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
159591203620,17235,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
