timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
158526474289,12007,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526514256,12008,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526523031,12009,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526542556,12010,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526568015,12011,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526584375,12012,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526623315,12013,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526635912,12014,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526676729,12015,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526708079,12016,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526737843,12017,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526822839,12018,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526853143,12019,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526860612,12020,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526867987,12021,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526898263,12022,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526924225,12023,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526955376,12024,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158526986624,12025,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527022997,12026,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527064184,12027,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527090399,12028,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527194429,12029,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527194447,12030,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527227575,12031,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527240575,12032,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527248479,12033,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527270587,12034,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527301735,12035,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527333012,12036,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527369298,12037,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527395495,12038,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527434211,12039,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527450839,12040,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527525794,12041,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527588031,12042,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527595473,12043,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527602757,12044,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527624315,12045,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527642212,12046,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527696694,12047,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527700662,12048,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527773157,12049,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527779063,12050,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527815547,12051,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527834250,12052,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527879297,12053,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527942935,12054,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527957990,12055,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527967955,12056,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158527987738,12057,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158528019212,12058,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158528049227,12059,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158528090615,12060,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158528114393,12061,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158528162726,12062,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158528180485,12063,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158528207852,12064,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158528297921,12065,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
