timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
158526474289,12007,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
158526514256,12008,-2,0,-0.0011111111,0.0211111111,-0.0022222222,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
158526523031,12009,-2,0,-0.0022222222,0.0100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-2.0400000000,-1.7100000000,-9.0400000000
158526542556,12010,-2,0,-0.0022222222,0.0033333333,-0.0033333333,0.0000000000,0.0000000000,0.0000000000,-2.0400000000,-1.7200000000,-9.1100000000
158526568015,12011,-2,0,-0.0044444444,-0.0055555556,0.0044444444,10.6250000000,20.8125000000,24.6250000000,-2.1100000000,-1.7000000000,-9.1000000000
158526584375,12012,-2,0,0.0000000000,-0.0100000000,0.0011111111,10.6250000000,20.8125000000,24.6250000000,-2.0200000000,-1.7000000000,-9.0400000000
158526623315,12013,-2,0,0.0000000000,-0.0144444444,0.0000000000,10.6250000000,20.8125000000,24.6250000000,-2.0400000000,-1.7000000000,-9.0200000000
158526635912,12014,-2,0,0.0044444444,0.0000000000,0.0000000000,10.6250000000,22.3125000000,25.3750000000,-2.0900000000,-1.6400000000,-9.0300000000
158526676729,12015,-2,0,0.0044444444,0.0044444444,-0.0355555556,10.6250000000,22.3125000000,25.3750000000,-2.0300000000,-1.7100000000,-9.0900000000
158526708079,12016,-2,0,-0.0133333333,-0.0100000000,-0.0100000000,10.6250000000,22.3125000000,25.3750000000,-2.0500000000,-1.7700000000,-9.1500000000
158526737843,12017,-2,0,-0.0188888889,-0.0122222222,0.0100000000,10.1875000000,20.5000000000,25.0000000000,-1.9500000000,-1.7700000000,-9.0000000000
158526822839,12018,-2,0,0.0011111111,-0.0066666667,0.0133333333,10.1875000000,20.5000000000,25.0000000000,-2.0500000000,-1.7400000000,-9.0500000000
158526853143,12019,-2,0,0.0022222222,0.0000000000,0.0211111111,10.1875000000,20.5000000000,25.0000000000,-1.9900000000,-1.7100000000,-9.0300000000
158526860612,12020,-2,0,0.0000000000,0.0100000000,0.0300000000,10.1875000000,20.5000000000,25.0000000000,-1.9600000000,-1.6400000000,-9.0700000000
158526867987,12021,-2,0,0.0044444444,0.0044444444,-0.0277777778,11.8750000000,21.1875000000,25.3750000000,-2.0900000000,-1.6600000000,-9.0900000000
158526898263,12022,-2,0,-0.0011111111,0.0011111111,-0.0511111111,11.8750000000,21.1875000000,25.3750000000,-2.0200000000,-1.7300000000,-9.0800000000
158526924225,12023,-2,0,0.0000000000,0.0000000000,-0.0222222222,11.8750000000,21.1875000000,25.3750000000,-2.0400000000,-1.7600000000,-8.9900000000
158526955376,12024,-2,0,0.0022222222,0.0144444444,-0.0033333333,10.1875000000,21.1875000000,26.5000000000,-2.1600000000,-1.7300000000,-9.1000000000
158526986624,12025,-2,0,0.0000000000,0.0055555556,-0.0033333333,10.1875000000,21.1875000000,26.5000000000,-2.0500000000,-1.7200000000,-9.0900000000
158527022997,12026,-2,0,0.0000000000,0.0055555556,0.0111111111,10.1875000000,21.1875000000,26.5000000000,-2.0400000000,-1.7300000000,-9.0400000000
158527064184,12027,-2,0,0.0000000000,0.0000000000,0.0088888889,10.6250000000,21.1875000000,26.1250000000,-2.1000000000,-1.6800000000,-9.0600000000
158527090399,12028,-2,0,-0.0011111111,-0.0044444444,-0.0011111111,10.6250000000,21.1875000000,26.1250000000,-2.0500000000,-1.7000000000,-9.0700000000
158527194429,12029,-2,0,-0.0011111111,-0.0044444444,-0.0055555556,10.6250000000,21.1875000000,26.1250000000,-2.0000000000,-1.7000000000,-9.0500000000
158527194447,12030,-2,0,-0.0011111111,-0.0033333333,-0.0133333333,10.2500000000,21.1875000000,25.7500000000,-1.9900000000,-1.7100000000,-9.0900000000
158527227575,12031,-2,0,0.0000000000,-0.0033333333,-0.0100000000,10.2500000000,21.1875000000,25.7500000000,-2.0600000000,-1.7600000000,-9.0600000000
158527240575,12032,-2,0,0.0011111111,0.0011111111,0.0022222222,10.2500000000,21.1875000000,25.7500000000,-1.9900000000,-1.7200000000,-9.0500000000
158527248479,12033,-2,0,0.0000000000,0.0088888889,0.0000000000,10.6250000000,21.9375000000,24.6250000000,-1.9700000000,-1.6800000000,-9.0600000000
158527270587,12034,-2,0,-0.0011111111,0.0044444444,0.0000000000,10.6250000000,21.9375000000,24.6250000000,-2.0600000000,-1.6700000000,-9.0400000000
158527301735,12035,-2,0,0.0000000000,0.0088888889,-0.0111111111,10.6250000000,21.9375000000,24.6250000000,-2.0100000000,-1.6900000000,-9.0800000000
158527333012,12036,-2,0,-0.0022222222,-0.0011111111,-0.0122222222,10.6250000000,21.9375000000,24.6250000000,-2.0200000000,-1.7300000000,-9.1100000000
158527369298,12037,-2,0,-0.0044444444,-0.0044444444,-0.0055555556,11.4375000000,21.2500000000,24.6250000000,-2.0900000000,-1.7300000000,-9.0400000000
158527395495,12038,5,0,0.0044444444,-0.0011111111,-0.0055555556,11.4375000000,21.2500000000,24.6250000000,-2.0100000000,-1.7200000000,-9.1000000000
158527434211,12039,5,0,0.0011111111,-0.0033333333,0.0033333333,11.4375000000,21.2500000000,24.6250000000,-1.9800000000,-1.6500000000,-9.0600000000
158527450839,12040,5,0,0.0111111111,-0.0011111111,-0.0300000000,10.2500000000,21.2500000000,26.1250000000,-2.0500000000,-1.6200000000,-9.0100000000
158527525794,12041,5,0,0.0000000000,0.0100000000,-0.0455555556,10.2500000000,21.2500000000,26.1250000000,-2.0400000000,-1.7600000000,-9.1400000000
158527588031,12042,5,0,-0.0177777778,-0.0088888889,0.0000000000,10.2500000000,21.2500000000,26.1250000000,-2.0200000000,-1.7800000000,-9.0300000000
158527595473,12043,5,0,0.0033333333,0.0100000000,0.0188888889,10.2500000000,20.8750000000,24.6250000000,-1.9500000000,-1.7400000000,-9.0200000000
158527602757,12044,5,0,0.0077777778,0.0000000000,0.0111111111,10.2500000000,20.8750000000,24.6250000000,-2.0500000000,-1.7300000000,-9.1200000000
158527624315,12045,5,0,-0.0022222222,0.0000000000,0.0200000000,10.2500000000,20.8750000000,24.6250000000,-1.9700000000,-1.6500000000,-9.0300000000
158527642212,12046,5,0,0.0011111111,0.0044444444,-0.0033333333,10.2500000000,20.8750000000,26.5000000000,-1.9900000000,-1.6100000000,-9.0700000000
158527696694,12047,5,0,0.0100000000,0.0000000000,-0.0500000000,10.2500000000,20.8750000000,26.5000000000,-2.0200000000,-1.7000000000,-9.0600000000
158527700662,12048,5,0,0.0000000000,0.0044444444,-0.0377777778,10.2500000000,20.8750000000,26.5000000000,-2.0400000000,-1.7400000000,-9.0100000000
158527773157,12049,5,0,0.0055555556,0.0200000000,-0.0022222222,9.8125000000,20.8750000000,23.8750000000,-2.0000000000,-1.7000000000,-9.0500000000
158527779063,12050,5,0,0.0033333333,0.0100000000,-0.0122222222,9.8125000000,20.8750000000,23.8750000000,-2.1700000000,-1.7100000000,-9.1400000000
158527815547,12051,5,0,-0.0033333333,0.0000000000,0.0100000000,9.8125000000,20.8750000000,23.8750000000,-2.0600000000,-1.7400000000,-9.0700000000
158527834250,12052,5,0,-0.0066666667,0.0000000000,0.0133333333,9.8125000000,20.8750000000,23.8750000000,-2.0000000000,-1.6900000000,-9.0600000000
158527879297,12053,5,0,0.0000000000,-0.0133333333,0.0066666667,11.0625000000,22.6875000000,25.0000000000,-2.0900000000,-1.6700000000,-9.0800000000
158527942935,12054,5,0,-0.0033333333,-0.0122222222,-0.0044444444,11.0625000000,22.6875000000,25.0000000000,-1.9900000000,-1.7000000000,-9.0400000000
158527957990,12055,5,0,-0.0011111111,-0.0155555556,-0.0055555556,11.0625000000,22.6875000000,25.0000000000,-2.0000000000,-1.6700000000,-9.0300000000
158527967955,12056,5,0,0.0066666667,-0.0111111111,-0.0200000000,11.0625000000,21.2500000000,25.0000000000,-1.9900000000,-1.7100000000,-9.0400000000
158527987738,12057,5,0,0.0066666667,-0.0066666667,-0.0100000000,11.0625000000,21.2500000000,25.0000000000,-2.0000000000,-1.7100000000,-9.0500000000
158528019212,12058,5,0,0.0044444444,0.0000000000,0.0000000000,11.0625000000,21.2500000000,25.0000000000,-1.9700000000,-1.6900000000,-9.0500000000
158528049227,12059,5,0,0.0000000000,0.0000000000,0.0000000000,10.6250000000,21.2500000000,25.7500000000,-1.9900000000,-1.6800000000,-9.0400000000
158528090615,12060,5,0,0.0000000000,0.0000000000,-0.0022222222,10.6250000000,21.2500000000,25.7500000000,-2.0400000000,-1.6800000000,-9.0600000000
158528114393,12061,5,0,0.0011111111,-0.0033333333,-0.0022222222,10.6250000000,21.2500000000,25.7500000000,-2.0200000000,-1.7100000000,-9.1000000000
158528162726,12062,5,0,-0.0077777778,-0.0100000000,0.0033333333,10.6250000000,20.8750000000,25.3750000000,-1.9500000000,-1.7100000000,-9.0800000000
158528180485,12063,5,0,-0.0066666667,-0.0088888889,0.0211111111,10.6250000000,20.8750000000,25.3750000000,-2.0500000000,-1.6800000000,-9.0700000000
158528207852,12064,5,0,0.0011111111,-0.0088888889,0.0000000000,10.6250000000,20.8750000000,25.3750000000,-1.9400000000,-1.6900000000,-9.0600000000
158528297921,12065,5,0,0.0011111111,-0.0066666667,0.0122222222,11.5000000000,20.5000000000,27.2500000000,-1.9700000000,-1.6600000000,-9.0500000000
158528356690,12066,5,0,0.0100000000,-0.0100000000,-0.0100000000,11.5000000000,20.5000000000,27.2500000000,-1.9500000000,-1.6800000000,-9.0400000000
158528365491,12067,5,0,-0.0066666667,-0.0044444444,-0.0077777778,11.5000000000,20.5000000000,27.2500000000,-1.9900000000,-1.7400000000,-9.2300000000
158528374300,12068,5,0,-0.0188888889,-0.0288888889,0.0033333333,11.5000000000,20.5000000000,27.2500000000,-1.8500000000,-1.6900000000,-8.9700000000
158528411867,12069,5,0,0.0033333333,-0.0100000000,-0.0066666667,10.6250000000,22.0000000000,24.6250000000,-1.9500000000,-1.7300000000,-9.0300000000
158528427136,12070,5,0,0.0022222222,-0.0100000000,0.0000000000,10.6250000000,22.0000000000,24.6250000000,-1.9100000000,-1.7200000000,-9.0500000000
158528448047,12071,5,0,-0.0033333333,-0.0044444444,0.0122222222,10.6250000000,22.0000000000,24.6250000000,-1.8900000000,-1.6600000000,-9.0500000000
158528462186,12072,5,0,0.0000000000,0.0000000000,-0.0122222222,10.2500000000,20.5000000000,25.0000000000,-1.9700000000,-1.6700000000,-9.1000000000
158528489283,12073,5,0,0.0000000000,-0.0100000000,-0.0322222222,10.2500000000,20.5000000000,25.0000000000,-1.9400000000,-1.7100000000,-9.0800000000
158528522892,12074,5,0,-0.0044444444,-0.0100000000,-0.0211111111,10.2500000000,20.5000000000,25.0000000000,-1.9300000000,-1.7400000000,-8.9700000000
158528553072,12075,5,0,0.0000000000,0.0100000000,-0.0033333333,10.6250000000,19.7500000000,25.7500000000,-1.9600000000,-1.7300000000,-9.1300000000
158528579188,12076,5,0,-0.0033333333,-0.0155555556,0.0000000000,10.6250000000,19.7500000000,25.7500000000,-1.9900000000,-1.7200000000,-9.0900000000
158528664192,12077,5,0,0.0000000000,-0.0122222222,0.0088888889,10.6250000000,19.7500000000,25.7500000000,-1.9100000000,-1.7300000000,-9.0900000000
158528700521,12078,5,0,0.0000000000,-0.0155555556,0.0022222222,10.2500000000,20.5000000000,25.7500000000,-1.8600000000,-1.7000000000,-9.0600000000
158528709134,12079,5,0,0.0066666667,-0.0088888889,0.0000000000,10.2500000000,20.5000000000,25.7500000000,-1.9300000000,-1.6600000000,-9.0700000000
