timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
154735362920,29899,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735385443,29900,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735439244,29901,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735458478,29902,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735490453,29903,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735521696,29904,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735579636,29905,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735611662,29906,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735619133,29907,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735637755,29908,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735670391,29909,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735701530,29910,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735731591,29911,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735777792,29912,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735800691,29913,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735827790,29914,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735859257,29915,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735961699,29916,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154735990383,29917,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736008102,29918,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736016623,29919,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736037942,29920,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736052962,29921,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736088044,29922,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736114231,29923,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736139072,29924,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736172887,29925,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736215435,29926,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736234188,29927,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736341797,29928,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736347942,29929,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736355044,29930,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736364250,29931,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736411693,29932,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736423016,29933,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736455569,29934,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736486763,29935,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736515540,29936,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736554125,29937,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736587857,29938,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736616559,29939,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736670339,29940,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736732791,29941,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736746673,29942,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736755611,29943,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736769281,29944,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736802879,29945,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736830587,29946,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736859079,29947,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736891567,29948,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736921725,29949,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736977672,29950,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154736986653,29951,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737045408,29952,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737112873,29953,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737120366,29954,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737130469,29955,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737140215,29956,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737172934,29957,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737205499,29958,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737234252,29959,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737266635,29960,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737311779,29961,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737335376,29962,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737357914,29963,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737435416,29964,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737474149,29965,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737479708,29966,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737490488,29967,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737520418,29968,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737546876,29969,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737577995,29970,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737609241,29971,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737640466,29972,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737694282,29973,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737714259,29974,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737784306,29975,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737816662,29976,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737824174,29977,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737845421,29978,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737880413,29979,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737904357,29980,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737930625,29981,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154737949068,29982,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738000048,29983,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738019070,29984,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738046624,29985,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738079191,29986,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738172962,29987,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738182871,29988,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738189084,29989,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738206261,29990,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738235289,29991,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738264064,29992,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738328071,29993,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738330745,29994,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738361239,29995,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738393120,29996,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738421678,29997,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738452927,29998,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738551788,29999,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738560435,30000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738570420,30001,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738602921,30002,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738617953,30003,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738641616,30004,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738672843,30005,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738703003,30006,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738732459,30007,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738765764,30008,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738814199,30009,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738850514,30010,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738920567,30011,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738927985,30012,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738939093,30013,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154738970426,30014,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739002958,30015,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739020443,30016,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739055386,30017,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739080387,30018,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739108743,30019,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739138676,30020,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739170412,30021,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739226736,30022,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739297916,30023,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739305372,30024,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739308992,30025,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739350475,30026,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739364020,30027,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739392896,30028,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739420460,30029,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739450400,30030,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739485339,30031,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739514710,30032,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739551608,30033,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739635554,30034,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739679241,30035,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739687973,30036,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739696662,30037,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739737874,30038,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739744069,30039,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739766626,30040,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739798029,30041,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739827914,30042,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739860276,30043,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739889232,30044,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154739918678,30045,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740001338,30046,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740016665,30047,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740025485,30048,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740052833,30049,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740083019,30050,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740110579,30051,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740147939,30052,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740169230,30053,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740200371,30054,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740256703,30055,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740265405,30056,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740299370,30057,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740375997,30058,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740401565,30059,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740409288,30060,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740424277,30061,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740458034,30062,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740488079,30063,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740517956,30064,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740549303,30065,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740578018,30066,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740607957,30067,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740640430,30068,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740694204,30069,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740744756,30070,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740767471,30071,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740775508,30072,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740801790,30073,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740831718,30074,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740859257,30075,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740891758,30076,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740924245,30077,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740957945,30078,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154740990517,30079,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741018036,30080,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741095475,30081,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741109205,30082,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741117802,30083,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741131671,30084,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741170445,30085,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741209144,30086,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741229120,30087,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741264332,30088,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741296644,30089,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741326697,30090,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741359221,30091,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741390424,30092,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741467940,30093,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741497817,30094,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741528159,30095,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741534004,30096,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741546870,30097,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741577911,30098,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741611677,30099,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741645533,30100,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154741676733,30101,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
