timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
153315807427,9024,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153315816110,9025,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153315824863,9026,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153315872345,9027,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153315876456,9028,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153315908631,9029,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153315940941,9030,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153315971137,9031,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316006050,9032,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316037253,9033,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316169848,9036,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316188646,9037,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316256309,9039,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316264674,9040,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316292785,9041,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316326140,9042,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316352385,9043,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316389949,9044,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316405170,9045,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316514978,9047,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316568397,9048,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316584873,9050,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316616020,9051,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316631022,9052,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316659723,9053,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316721033,9055,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316786588,9057,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153316817365,9058,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
