timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
153315807427,9024,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
153315816110,9025,-2,0,0.0000000000,0.0011111111,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-2.6700000000,-1.4300000000,-8.9300000000
153315824863,9026,-2,0,0.0000000000,-0.0033333333,-0.0066666667,0.0000000000,0.0000000000,0.0000000000,-2.6000000000,-1.4200000000,-8.9400000000
153315872345,9027,-2,0,0.0011111111,0.0000000000,-0.0022222222,0.0000000000,0.0000000000,0.0000000000,-2.6400000000,-1.4200000000,-8.9500000000
153315876456,9028,-2,0,0.0011111111,0.0022222222,-0.0088888889,11.7500000000,17.0625000000,25.6875000000,-2.7600000000,-1.3900000000,-8.9200000000
153315908631,9029,-2,0,0.0055555556,0.0077777778,-0.0055555556,11.7500000000,17.0625000000,25.6875000000,-2.6600000000,-1.4200000000,-8.9800000000
153315940941,9030,-2,0,0.0000000000,-0.0077777778,0.0000000000,11.7500000000,17.0625000000,25.6875000000,-2.6200000000,-1.4000000000,-8.9700000000
153315971137,9031,-2,0,-0.0022222222,-0.0133333333,-0.0011111111,9.3125000000,18.5625000000,23.5000000000,-2.7300000000,-1.3900000000,-8.9400000000
153316006050,9032,-2,0,0.0000000000,-0.0100000000,-0.0100000000,9.3125000000,18.5625000000,23.5000000000,-2.6500000000,-1.4000000000,-8.9500000000
153316037253,9033,-2,0,0.0011111111,-0.0055555556,0.0000000000,9.3125000000,18.5625000000,23.5000000000,-2.6300000000,-1.3500000000,-8.8700000000
153316169848,9036,-2,0,-0.0100000000,0.0000000000,0.0100000000,10.5000000000,17.0625000000,23.8750000000,-2.5800000000,-1.4000000000,-8.8900000000
153316188646,9037,-2,0,-0.0100000000,0.0000000000,-0.0166666667,11.3125000000,17.0625000000,22.7500000000,-2.6200000000,-1.4600000000,-8.9200000000
153316256309,9039,-2,0,0.0100000000,0.0055555556,0.0088888889,11.3125000000,17.0625000000,22.7500000000,-2.6700000000,-1.3800000000,-8.9600000000
153316264674,9040,-2,0,0.0000000000,0.0077777778,0.0033333333,10.1250000000,17.0625000000,22.0000000000,-2.6200000000,-1.3700000000,-8.9500000000
153316292785,9041,-2,0,-0.0100000000,0.0055555556,0.0011111111,10.1250000000,17.0625000000,22.0000000000,-2.7000000000,-1.4100000000,-8.9300000000
153316326140,9042,-2,0,-0.0188888889,0.0100000000,-0.0122222222,10.1250000000,17.0625000000,22.0000000000,-2.6800000000,-1.4300000000,-8.9300000000
153316352385,9043,-2,0,-0.0100000000,0.0111111111,-0.0100000000,10.1250000000,17.0625000000,22.0000000000,-2.6700000000,-1.4800000000,-8.9400000000
153316389949,9044,-2,0,0.0011111111,0.0044444444,0.0033333333,10.9375000000,18.9375000000,22.7500000000,-2.7600000000,-1.4800000000,-8.9500000000
153316405170,9045,-2,0,0.0022222222,0.0000000000,0.0022222222,10.9375000000,18.9375000000,22.7500000000,-2.6600000000,-1.4200000000,-8.9700000000
153316514978,9047,-2,0,-0.0022222222,-0.0022222222,0.0100000000,10.5000000000,18.1875000000,23.5000000000,-2.6600000000,-1.4000000000,-8.9400000000
153316568397,9048,-2,0,-0.0066666667,-0.0100000000,0.0022222222,10.5000000000,18.1875000000,23.5000000000,-2.6300000000,-1.4100000000,-8.9500000000
153316584873,9050,-2,0,-0.0011111111,-0.0155555556,0.0055555556,10.1250000000,18.5625000000,23.8750000000,-2.6100000000,-1.4600000000,-8.9200000000
153316616020,9051,-2,0,0.0000000000,-0.0055555556,0.0000000000,10.1250000000,18.5625000000,23.8750000000,-2.6000000000,-1.4200000000,-8.9100000000
153316631022,9052,-2,0,0.0044444444,0.0000000000,-0.0055555556,10.1250000000,18.5625000000,23.8750000000,-2.5900000000,-1.4200000000,-8.8900000000
153316659723,9053,-2,0,-0.0033333333,0.0200000000,0.0000000000,10.9375000000,18.5625000000,23.8750000000,-2.6000000000,-1.4300000000,-8.9200000000
153316721033,9055,-2,0,-0.0066666667,0.0000000000,-0.0088888889,10.9375000000,18.5625000000,23.8750000000,-2.6500000000,-1.4900000000,-8.9700000000
153316786588,9057,-2,0,0.0200000000,-0.0011111111,0.0011111111,11.3125000000,17.8125000000,23.5000000000,-2.7300000000,-1.4600000000,-8.9400000000
153316817365,9058,-2,0,0.0133333333,0.0044444444,0.0000000000,11.3125000000,17.8125000000,23.5000000000,-2.6600000000,-1.3600000000,-8.9200000000
