timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
158241766452,6857,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158241833819,6859,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158241866290,6860,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158241927534,6861,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158241988807,6862,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158241997618,6863,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242006474,6864,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242018912,6865,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242141323,6869,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242171365,6870,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242340905,6873,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242347443,6874,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242355060,6875,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242386351,6877,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242422668,6878,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242485247,6880,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242582707,6883,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242613789,6884,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242703988,6885,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242713857,6886,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242743769,6888,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242835099,6891,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242907619,6893,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242927802,6894,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158242956384,6895,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243057832,6896,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243149640,6901,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243170977,6902,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243240049,6904,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243265090,6905,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243298769,6906,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243331367,6907,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243450155,6909,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243460134,6910,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243540126,6912,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243575415,6915,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243606346,6916,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243638904,6917,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243671343,6918,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243783912,6920,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243830322,6922,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243893859,6925,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243925204,6926,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243954626,6927,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158243984785,6928,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244208967,6933,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244216395,6934,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244226358,6935,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244239923,6936,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244268888,6937,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244302569,6938,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244384364,6941,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244420183,6942,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244501351,6943,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244560228,6946,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244590260,6947,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244607571,6948,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244638852,6949,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244671278,6950,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244702575,6951,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244763156,6953,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244840063,6954,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244926382,6957,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244958925,6958,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158244981335,6959,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245108875,6964,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245169691,6966,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245246907,6967,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245276476,6968,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245282695,6969,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245311129,6970,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245422617,6974,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245458785,6975,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245537540,6977,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245540887,6978,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245626936,6979,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245647593,6980,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245688895,6982,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245707628,6983,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245766356,6985,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245861326,6988,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245892585,6989,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158245947588,6990,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246015340,6991,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246036425,6993,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246110355,6996,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246176474,6998,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246210234,6999,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246242611,7000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246271383,7001,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246330110,7002,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246421423,7006,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246455228,7007,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246516355,7009,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246548830,7010,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246603869,7011,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246616257,7012,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246732619,7014,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246767598,7015,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246786579,7017,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246882682,7020,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246890076,7021,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246947669,7022,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158246955285,7023,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158247016412,7025,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158247112505,7027,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158247169629,7030,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158247203102,7031,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158247235199,7032,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158247290101,7033,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158247484127,7038,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158247491355,7039,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158247500111,7040,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
