timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
154852621008,32474,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154852653411,32475,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154852687129,32476,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154852717230,32477,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154852748266,32478,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154852779248,32479,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154852860058,32480,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154852895808,32481,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154852903357,32482,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154852925891,32483,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154852937760,32484,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154852969636,32485,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154852999682,32486,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853034639,32487,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853061054,32488,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853092199,32489,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853123278,32490,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853151847,32491,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853204740,32492,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853254752,32493,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853260422,32494,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853284811,32495,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853306283,32496,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853339508,32497,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853371796,32498,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853403526,32499,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853434670,32500,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853467262,32501,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853524725,32502,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853613260,32503,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853623305,32504,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853633367,32505,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853637593,32506,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853649202,32507,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853684602,32508,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
154853718350,32509,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
