timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
155091922902,35053,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155091975144,35054,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155091997861,35055,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092007780,35056,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092028241,35057,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092059209,35058,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092092627,35059,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092127574,35060,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092147634,35061,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092178907,35062,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092247576,35063,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092251547,35064,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092321424,35065,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092340441,35066,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092348845,35067,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092369818,35068,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092390760,35069,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092431502,35070,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092461422,35071,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092490187,35072,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
155092545762,35073,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
