timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
160371971797,28270,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372067870,28273,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372097924,28274,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372129126,28275,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372164115,28276,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372211569,28277,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372276654,28278,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372347792,28282,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372385220,28283,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372419124,28284,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372476580,28286,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372504014,28287,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372541509,28288,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372652710,28290,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372659176,28291,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372809186,28296,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372824189,28297,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372854175,28298,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160372882909,28299,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160373096794,28306,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160373130557,28307,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160373161570,28308,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160373190453,28309,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160373391492,28314,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160373400568,28315,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160373444136,28317,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160373475476,28318,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160373505459,28319,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160373600586,28322,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160373637817,28323,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160373744108,28325,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160373794282,28328,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160373813075,28329,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160373847908,28330,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160373882886,28331,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160373911585,28332,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160374172602,28338,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160374179105,28339,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160374201840,28340,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160374355364,28346,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160374391703,28347,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160374488046,28348,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160374495447,28349,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160374501547,28350,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160374517977,28351,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160374629109,28355,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160374664243,28356,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160374758008,28359,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160374836822,28360,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160374854112,28361,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160374883194,28363,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160374923441,28364,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160375070437,28369,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160375099195,28370,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160375177961,28371,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160375217980,28372,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160375317927,28377,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160375380361,28379,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160375412097,28380,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160375442999,28381,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160375471668,28382,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160375639176,28387,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160375659014,28388,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160375731711,28390,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160375756646,28391,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160375795905,28392,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160375960591,28395,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160375970385,28396,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160376002904,28397,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160376059133,28400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160376070476,28401,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160376121686,28402,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160376159706,28404,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160376190067,28405,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160376301690,28407,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160376330384,28408,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160376380417,28411,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160376410406,28412,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160376441650,28413,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160376731690,28420,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160376741628,28421,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160376746570,28422,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160376755430,28423,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160376911646,28428,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160376942756,28429,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160377065440,28431,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160377074150,28432,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160377080584,28433,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160377101704,28434,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160377160404,28436,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160377194188,28437,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160377280412,28439,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160377396221,28442,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160377434342,28443,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
160377442427,28444,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
