timestamp,sequence,battery,flags,EEG-ch1,EEG-ch2,EEG-ch3,EEG-ch4,EEG-ch5,EEG-ch6,EEG-ch7,EEG-ch8,EEG-ch9,EEG-ch10,EEG-ch11,EEG-ch12,EEG-ch13,EEG-ch14,EEG-ch15,EEG-ch16
160371971797,28270,-2,0,7761.1167477263,-2094.8393558250,16144.8788772761,14141.1755706550,15539.5724634252,9040.0998638762,22534.7326961473,27499.2503414822,-1628.3420273302,-1758.9744204213,15094.7214675785,8443.4081793759,-8171.0707890848,14646.8772183133,-7714.7578228309,4892.2658616003
160371971797,28270,-2,0,7773.9780032681,-2088.6216627485,16164.4688691610,14144.7285381273,15538.4530353175,9040.9029318665,22533.5280941618,27499.1651676044,-1630.3862003965,-1758.5607187293,15091.3266801649,8441.3761740065,-8172.5674157940,14642.6671952125,-7721.9489316532,4890.0270053849
160371971797,28270,-2,0,7778.3462064275,-2086.0177756284,16200.0472146713,14145.4220968462,15537.7108058113,9041.4139751330,22532.2018152081,27497.9483979221,-1632.4668765532,-1758.4512094579,15088.8809731034,8440.6826152876,-8175.2808121856,14646.9258891005,-7723.8957631449,4887.8368199567
160371971797,28270,-2,0,7766.3853604506,-2091.7852639224,16199.9620407936,14139.8979624886,15533.9266520994,9036.6685733721,22528.9530401564,27494.5779459022,-1636.5673903825,-1762.8194126174,15085.8147135041,8436.8984615756,-8178.7364380833,14646.8893860101,-7724.8570111939,4884.1135047289
160371971797,28270,-2,0,7752.1248197741,-2102.3224893711,16160.6725477523,14131.4900839839,15528.3173438640,9032.3855440904,22524.9011971143,27488.9077991827,-1641.5804814736,-1768.2218700068,15081.4100072542,8434.2215682746,-8182.9829642745,14641.0367238382,-7722.8006704308,4881.4731145183
160371971797,28270,-2,0,7743.0842210347,-2105.1210596404,16135.1082167273,14128.6671783210,15526.1271584359,9030.0006755131,22522.6623408989,27487.3381662925,-1642.2618724957,-1769.3169627208,15079.6213558212,8433.0778047732,-8183.8955415362,14640.5743513590,-7718.6514858142,4881.2540959755
160371971797,28270,-2,0,7751.4920995393,-2099.7064345542,16150.8167133257,14131.8672825854,15528.2078345926,9030.2683648432,22521.4212358230,27487.8005387718,-1641.1424443879,-1766.0560199723,15078.9156294055,8431.9705443623,-8184.7107772233,14645.5266039659,-7716.2544495401,4880.9012327677
160371971797,28270,-2,0,7762.3821881958,-2099.0493789257,16184.5090658284,14130.7843575682,15525.9081398931,9030.5725572638,22518.9755287616,27485.5130117691,-1642.7850834590,-1766.9320941435,15075.0949726031,8429.2084771835,-8186.9739688324,14647.4734354576,-7717.8362501271,4878.2973456476
160372067870,28273,-2,0,7745.1527294946,-2102.8700357281,16180.6154028451,14132.8041952408,15531.0550756492,9037.0579396704,22526.5803392759,27495.0038152910,-1636.2266948715,-1760.6535625829,15083.4298449268,8434.3310775460,-8176.4245756869,14651.1237445045,-7714.9403382832,4884.9044050224
160372067870,28273,-2,0,7736.4041554789,-2109.5257658903,16142.9563811781,14127.7059302720,15526.9302264262,9032.7749103888,22524.1954706986,27491.7915433297,-1639.5849791946,-1765.4841382216,15081.9332182175,8433.7956988858,-8180.5859280004,14648.6171989589,-7714.1616056865,4882.7142195943
160372067870,28273,-2,0,7737.9859560658,-2110.1219830346,16136.3979925905,14126.1241296850,15526.4678539469,9033.0669351125,22521.5064097007,27488.2750789479,-1641.4223014149,-1766.1168584564,15080.9354670781,8432.3234075702,-8181.6931884113,14643.2025738727,-7715.7312385767,4881.5582883961
160372067870,28273,-2,0,7746.7466977784,-2106.2283200513,16167.6811411223,14128.4724951718,15527.7819652038,9035.0989404819,22522.1756330260,27490.2827489237,-1640.5827303341,-1764.3647101139,15080.6921131416,8433.3454941033,-8181.6445176240,14643.2025738727,-7715.9989279068,4880.9499035550
160372067870,28273,-2,0,7751.6989503853,-2106.4960093814,16197.9178677273,14129.0200415288,15529.7531320891,9037.6176537243,22523.4897442829,27492.3999281709,-1638.6237311456,-1763.2452820062,15081.9088828239,8435.9615489203,-8179.6611830418,14647.3274230957,-7713.6748978136,4882.4830333546
160372067870,28273,-2,0,7739.5069181687,-2113.1760749372,16180.2017011531,14125.9416142326,15529.5584489399,9036.4860579198,22524.0737937304,27491.2805000632,-1638.6967373265,-1762.4422140159,15083.1256525062,8437.5068464168,-8177.9820408803,14650.8438874775,-7707.9074095195,4885.3424421080
160372067870,28273,-2,0,7726.2076255412,-2118.4811907520,16144.1123123763,14122.3643113667,15529.8261382700,9034.9529281201,22525.5460850460,27493.0934868898,-1636.9932597713,-1762.4908848031,15084.8534654551,8439.5145163926,-8176.6800973202,14657.2927667937,-7700.6067914258,4889.0414219422
160372067870,28273,-2,0,7730.1012885246,-2115.6947881795,16135.3394029669,14124.2624720711,15533.9388197962,9037.0701073673,22526.5681715791,27492.8501329533,-1635.4844653653,-1760.1790224068,15086.9219739150,8440.7677891653,-8174.9887874618,14659.2517659822,-7696.5427806869,4890.5502163483
160372097924,28274,-2,0,7743.9846305996,-2107.5667667018,16164.8339000657,14128.3751535972,15533.7563043439,9036.5468964039,22524.8768617207,27492.8136298629,-1636.8959181967,-1761.2984505145,15083.0891494157,8436.9714677566,-8177.0086251344,14650.2476703332,-7706.1187580866,4885.5614606508
