timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
160371971797,28270,-2,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
160372067870,28273,-2,0,0.0066666667,-0.0044444444,-0.0211111111,0.0000000000,0.0000000000,0.0000000000,-1.2000000000,-1.6800000000,-9.2300000000
160372097924,28274,-2,0,0.0044444444,0.0000000000,-0.0200000000,7.8125000000,19.3750000000,23.5625000000,-1.3400000000,-1.6900000000,-9.2300000000
160372129126,28275,-2,0,0.0022222222,0.0000000000,-0.0100000000,7.8125000000,19.3750000000,23.5625000000,-1.2700000000,-1.7100000000,-9.2300000000
160372164115,28276,-2,0,0.0022222222,0.0066666667,-0.0044444444,7.8125000000,19.3750000000,23.5625000000,-1.2700000000,-1.6800000000,-9.1800000000
160372211569,28277,-2,0,0.0044444444,0.0066666667,0.0000000000,7.0000000000,20.8750000000,23.1875000000,-1.3400000000,-1.6600000000,-9.2700000000
160372276654,28278,-2,0,0.0000000000,-0.0044444444,-0.0100000000,7.0000000000,20.8750000000,23.1875000000,-1.2800000000,-1.6700000000,-9.2600000000
160372347792,28282,-2,0,0.0100000000,0.0022222222,-0.0200000000,7.8125000000,19.0000000000,26.1250000000,-1.2000000000,-1.6700000000,-9.2400000000
160372385220,28283,-2,0,-0.0188888889,-0.0155555556,-0.0100000000,5.7500000000,19.0000000000,25.0000000000,-1.3300000000,-1.7000000000,-9.3500000000
160372419124,28284,-2,0,-0.0100000000,-0.0100000000,0.0055555556,5.7500000000,19.0000000000,25.0000000000,-1.1900000000,-1.7400000000,-9.1500000000
160372476580,28286,-2,0,0.0033333333,0.0033333333,0.0144444444,7.3750000000,19.3750000000,24.6875000000,-1.2100000000,-1.7200000000,-9.1700000000
160372504014,28287,-2,0,0.0033333333,0.0111111111,0.0222222222,7.3750000000,19.3750000000,24.6875000000,-1.3200000000,-1.6200000000,-9.2300000000
160372541509,28288,-2,0,0.0022222222,0.0055555556,-0.0077777778,7.3750000000,19.3750000000,24.6875000000,-1.2500000000,-1.6500000000,-9.2600000000
160372652710,28290,-2,0,-0.0066666667,-0.0022222222,-0.0255555556,7.3750000000,19.0000000000,25.0000000000,-1.3700000000,-1.7300000000,-9.1900000000
160372659176,28291,-2,0,0.0000000000,0.0000000000,-0.0011111111,7.3750000000,19.0000000000,25.0000000000,-1.3300000000,-1.7100000000,-9.2800000000
160372809186,28296,-2,0,-0.0022222222,-0.0111111111,-0.0066666667,7.8125000000,18.2500000000,25.3750000000,-1.2000000000,-1.6700000000,-9.2100000000
160372824189,28297,-2,0,0.0033333333,-0.0100000000,-0.0111111111,7.8125000000,18.2500000000,25.3750000000,-1.2500000000,-1.6900000000,-9.2300000000
160372854175,28298,-2,0,0.0044444444,-0.0177777778,-0.0111111111,7.8125000000,18.2500000000,25.3750000000,-1.2100000000,-1.7100000000,-9.2200000000
160372882909,28299,-2,0,0.0000000000,-0.0066666667,-0.0022222222,7.0000000000,19.3750000000,25.4375000000,-1.1900000000,-1.6900000000,-9.2200000000
160373096794,28306,-2,0,0.0033333333,0.0044444444,-0.0266666667,7.8125000000,18.2500000000,24.6875000000,-1.2100000000,-1.6400000000,-9.2300000000
160373130557,28307,-2,0,-0.0177777778,-0.0122222222,-0.0344444444,7.8125000000,18.2500000000,24.6875000000,-1.3100000000,-1.6900000000,-9.3400000000
160373161570,28308,-2,0,-0.0022222222,-0.0022222222,0.0033333333,7.8125000000,18.2500000000,24.6875000000,-1.1100000000,-1.7800000000,-9.1300000000
160373190453,28309,-2,0,0.0044444444,0.0011111111,0.0133333333,7.3750000000,18.2500000000,24.6875000000,-1.2300000000,-1.7100000000,-9.2600000000
160373391492,28314,-2,0,-0.0044444444,0.0000000000,-0.0300000000,6.5625000000,18.6250000000,25.8125000000,-1.2100000000,-1.7100000000,-9.2000000000
160373400568,28315,-2,0,-0.0100000000,-0.0033333333,-0.0022222222,7.0000000000,19.3750000000,24.3125000000,-1.2500000000,-1.7200000000,-9.2900000000
160373444136,28317,-2,0,0.0000000000,-0.0011111111,0.0222222222,7.0000000000,19.3750000000,24.3125000000,-1.1900000000,-1.7000000000,-9.2400000000
160373475476,28318,-2,0,-0.0033333333,-0.0055555556,0.0122222222,6.1875000000,20.1250000000,25.8125000000,-1.1900000000,-1.6600000000,-9.2500000000
160373505459,28319,-2,0,-0.0011111111,-0.0100000000,0.0000000000,6.1875000000,20.1250000000,25.8125000000,-1.2500000000,-1.6500000000,-9.2200000000
