timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
158069237676,4246,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069266459,4247,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069298847,4248,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069381393,4249,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069402817,4250,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069410228,4251,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069460347,4252,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069468851,4253,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069493870,4254,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069515216,4255,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069549017,4256,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069581364,4257,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069608962,4258,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069640270,4259,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069673878,4260,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069753853,4261,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069777590,4262,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069785111,4263,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069811483,4264,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069830137,4265,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069862598,4266,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069892657,4267,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069925344,4268,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069958895,4269,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158069980596,4270,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070025462,4271,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070070304,4272,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070123184,4273,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070183850,4274,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070191437,4275,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070201274,4276,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070207558,4277,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070236340,4278,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070268745,4279,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070298796,4280,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070336538,4281,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070358932,4282,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070387516,4283,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070486519,4284,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070510151,4285,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070513942,4286,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070521374,4287,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070550169,4288,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070580169,4289,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070616387,4290,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070644005,4291,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
158070681415,4292,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
